tag_id,name,slug,language,games_count
43576,interactive movie,interactive-movie-2,eng,6
91217,interactive game,interactive-game-2,eng,2
273,Parody,parody,eng,2739
196,Procedural Generation,procedural-generation,eng,8981
581,Epic,epic,eng,4138
774,nature,nature,eng,7373
4565,offline,offline,eng,1073
1529,fight,fight,eng,7930
241,Space Sim,space-sim,eng,2121
2232,journey,journey,eng,2131
1505,ship,ship,eng,2799
2405,planets,planets,eng,1504
6903,galaxy,galaxy,eng,1207
2062,sun,sun,eng,507
5637,sky,sky,eng,1848
1309,hero,hero,eng,4866
835,Swords,swords,eng,1462
1221,history,history,eng,2396
56,Shoot 'Em Up,shoot-em-up,eng,12430
53,Flight,flight,eng,4756
129,TrackIR,trackir,eng,40
31591,tir,tir,eng,12
569,Minigames,minigames,eng,5754
834,party-game,party-game,eng,1912
1774,spaceship,spaceship,eng,1416
981,battle,battle,eng,10709
2889,balance,balance,eng,1704
460,Endless,endless,eng,14741
1125,arena,arena,eng,2081
5033,tv,tv,eng,550
3621,map,map,eng,1333
8409,hd,hd,eng,231
307,Gaming,gaming,eng,393
219,Politics,politics,eng,751
894,Classes,classes,eng,1032
314,World War I,world-war-i,eng,314
5488,tank,tank,eng,1352
7452,ww1,ww1,eng,25
808,character,character,eng,8889
820,secrets,secrets,eng,3445
163,Co-op Campaign,co-op-campaign,eng,547
96,Kickstarter,kickstarter,eng,602
59,Crowdfunded,crowdfunded,eng,69
40908,Einzelspieler,einzelspieler,eng,12
40906,Steam-Errungenschaften,steam-errungenschaften,eng,7
40907,Volle Controllerunterstützung,volle-controllerunterstutzung,eng,7
3117,shoot,shoot,eng,9956
91537,HDR available,hdr-available,eng,198
3388,waves,waves,eng,1820
1427,nightmare,nightmare,eng,551
3992,clone,clone,eng,1008
247,Real Time Tactics,real-time-tactics,eng,2377
42410,LGBTQ+,lgbtq-2,eng,2774
1709,work,work,eng,9310
7244,historical-fiction,historical-fiction,eng,7
340,in development,in-development,eng,23
52,Arena Shooter,arena-shooter,eng,2427
796,plague,plague,eng,85
2326,explore,explore,eng,3367
177,Voxel,voxel,eng,2639
2191,alien,alien,eng,1222
1807,water,water,eng,3871
1068,sea,sea,eng,2420
1778,food,food,eng,4929
2296,crash,crash,eng,635
4934,health,health,eng,1565
997,island,island,eng,2661
2906,police,police,eng,1843
1315,room,room,eng,4219
49992,first person shooter,first-person-shooter-3,eng,8
37996,tank controls,tank-controls,eng,7
40641,survival-horror-game,survival-horror-game,eng,2
206,Party-Based RPG,party-based-rpg,eng,1591
425,Single player only,single-player-only,eng,35
132,Offroad,offroad,eng,1057
878,sword,sword,eng,1430
1867,puzzles,puzzles,eng,8884
2129,interactive,interactive,eng,476
1190,hell,hell,eng,1682
7152,factory,factory,eng,1020
677,evolution,evolution,eng,854
1887,moon,moon,eng,1332
650,prison,prison,eng,818
627,Skeletons,skeletons,eng,1003
240,Martial Arts,martial-arts,eng,727
764,slasher,slasher,eng,296
45201,Remote Play Together,remote-play-together,eng,4050
64326,Постапокалипсис,postapokalipsis,eng,2574
2491,motorbike,motorbike,eng,248
49954,Open World Survival Craft,open-world-survival-craft,eng,433
1753,guns,guns,eng,2480
1411,build,build,eng,5048
49960,Life Sim,life-sim-2,eng,3175
10766,reality-based,reality-based,eng,43
975,life,life,eng,125
28932,family-simulator,family-simulator,eng,3
1567,bullet-time,bullet-time-2,eng,38
21738,time-manipulation,time-manipulation-2,eng,16
173,Utilities,utilities,eng,535
156,Software,software,eng,474
1333,android,android,eng,3363
223,Photo Editing,photo-editing,eng,99
2311,pc,pc,eng,671
3605,tool,tool,eng,415
9621,animated,animated,eng,48
2265,desktop,desktop,eng,274
7425,program,program,eng,26
2064,aesthetic,aesthetic,eng,124
1926,customizable,customizable,eng,23
6529,wallpaper,wallpaper,eng,11
43188,background,background,eng,30
11702,cover-shooter,cover-shooter,eng,2
199,Sniper,sniper,eng,1699
37995,fixed camera,fixed-camera-2,eng,7
1407,race,race,eng,6800
51020,street racing,street-racing-2,eng,11
48354,w10 exclusive,w10-exclusive,eng,9
980,winter,winter,eng,1601
1324,autumn,autumn,eng,189
2161,extreme,extreme,eng,45
263,Mars,mars,eng,1033
500,Solo,solo,eng,1650
46115,LAN Co-op,lan-co-op,eng,849
499,Team,team,eng,24
