developer_id,name,slug,games_count,image_background
10340,3D Realms,3d-realms,34,https://media.rawg.io/media/screenshots/27c/27c6e52d03f51169705a360e669fd5b9.jpg
8254,Sonic Team,sonic-team,68,https://media.rawg.io/media/screenshots/51d/51dec86a3a4fff0d0faa122db48a98fd.jpg
6946,Criterion Games,criterion-games,27,https://media.rawg.io/media/screenshots/a3e/a3eb2464a9b9ae18f4b5e5c1aa07db7b.jpg
26470,Koei Tecmo,koei-tecmo,152,https://media.rawg.io/media/games/458/4584d54896b44e58aca989b6e0d41fad.jpg
9455,Splash Damage,splash-damage,16,https://media.rawg.io/media/screenshots/a43/a43800879c3b69f9541fb406a6b36477_P64BIoR.jpg
11328,343 Industries,343-industries,15,https://media.rawg.io/media/screenshots/ccb/ccb9112e73ae4d8d9a8d4d24b82d63af.jpg
490,Tripwire Interactive,tripwire-interactive,12,https://media.rawg.io/media/screenshots/c62/c627f92bae544875cd879381ee0fa70a.jpg
133403,Handy Games,handy-games,100,https://media.rawg.io/media/screenshots/5a8/5a82694b8549f4b6e2c1b987d26ff744.jpg
7294,Frictional Games,frictional-games,10,https://media.rawg.io/media/screenshots/26c/26c917d355d15a7f64b823c5e0da57cc.jpg
17202,Guerrilla Games,guerrilla-games,20,https://media.rawg.io/media/games/bc0/bc0022da81ca13ab002062a685a54684.jpg
13878,PopCap Games,popcap-games,59,https://media.rawg.io/media/screenshots/be9/be9725f932b466ecbf25c942fa81bcc8.jpg
3864,GSC Game World,gsc-game-world,30,https://media.rawg.io/media/screenshots/35a/35a155a1f257d41040599098b71c972f.jpg
4112,Ubisoft Bucharest,ubisoft-bucharest,14,https://media.rawg.io/media/games/6cd/6cd59f4d517cc2b802405a897d275a32.jpg
11188,High Moon Studios,high-moon-studios,23,https://media.rawg.io/media/games/7e3/7e327a055bedb9b6d1be86593bef473d.jpg
7930,Triumph Studios,triumph-studios,18,https://media.rawg.io/media/games/d1c/d1cd8a226cb224357c1f59605577cbf2.jpg
13905,Vicarious Visions,vicarious-visions,67,https://media.rawg.io/media/games/185/185ff09a4d71d0d8aef53330f1ffd379.jpg
568,Playdead,playdead,5,https://media.rawg.io/media/screenshots/0ad/0adec986d97d3a3d54921058f622a952.jpeg
231,Jackbox Games,jackbox-games,30,https://media.rawg.io/media/screenshots/b89/b8974436b7dab909da85a32874514cd4.jpg
