creator_id,name,slug,games_count
3678,Shusaku Uchiyama,shusaku-uchiyama,11
10885,Dan Kramer,dan-kramer,10
592,Stephen Bahl,stephen-bahl,9
1314,Mikołaj Stroiński,mikolaj-stroinski,4
1100,Ikumi Nakamura,ikumi-nakamura,9
1102,Shigenori Nishikawa,shigenori-nishikawa,8
484,Ben Wyatt,ben-wyatt,5
481,David Hego,david-hego,4
11912,Andrew Morris,andrew-morris,11
1723,Jon Porter,jon-porter,6
15323,Jesper Rudberg,jesper-rudberg,4
4045,Chris Miller,chris-miller,13
1416,Drew McCoy,drew-mccoy,4
2088,Clint Bajakian,clint-bajakian,22
1109,Gustavo Santaolalla,gustavo-santaolalla,6
1407,Marianne Krawczyk,marianne-krawczyk,15
146,Tor Frick,tor-frick,6
1112,Jason Gregory,jason-gregory,6
137,Edmund McMillen,edmund-mcmillen,17
1264,Cevat Yerli,cevat-yerli,8
235,Chris Jones,chris-jones,21
333,Ari Pulkkinen,ari-pulkkinen,17
2751,Tom Salta,tom-salta,19
21823,Charles Bernstein,charles-bernstein,8
51,Kurt Kuhlmann,kurt-kuhlmann,3
268,Jean-Alexis Doyon,jean-alexis-doyon,3
175,Steve Jaros,steve-jaros,7
8620,Garret Randell,garret-randell,3
1280,Jake Kaufman,jake-kaufman,46
147,Axel Torvenius,axel-torvenius,6
2780,Yoshiaki Hirabayashi,yoshiaki-hirabayashi,5
1131,Cliff Bleszinski,cliff-bleszinski,20
264,Li Kuo,li-kuo,3
8911,John Cash,john-cash,16
22406,Damien Monnier,damien-monnier,2
22408,Katarzyna Redesiuk,katarzyna-redesiuk,2
22405,Michał Dobrowolski,michal-dobrowolski,2
208,Jean-François Dugas,jean-francois-dugas,6
639,Nicholas Clark,nicholas-clark,5
572,Sébastien Mitton,sebastien-mitton-2,5
1845,Kurt Margenau,kurt-margenau,6
423,Dave Grossman,dave-grossman,29
270,Kevin Guillemette,kevin-guillemette,7
26129,Piotr Adamczyk,piotr-adamczyk,8
2139,Sam Nouriani,sam-nouriani,8
2561,Corey G. May,corey-g-may,6
2181,Eric Baptizat,eric-baptizat,5
1414,Mackey McCandlish,mackey-mccandlish,8
3834,Kevin Schilder,kevin-schilder,24
831,Alexander Brandon,alexander-brandon,20
446,oe Henson and Alexis Smith (The Flight),the-flight,7
180,Malcolm Kirby Jr.,malcolm-kirby-jr,6
1074,Patrice Désilets,patrice-desilets,8
129,Petri Alanko,petri-alanko,5
593,Rob Heironimus,rob-heironimus,4
3817,Brian Bloom,brian-bloom,8
95,Gustaf Grefberg,gustaf-grefberg,6
987,Christian Gyrling,christian-gyrling,5
13,Mateusz Tomaszkiewicz,mateusz-tomaszkiewicz,4
7279,Yoshinori Kitase,yoshinori-kitase,26
16630,Jeffrey Brown,jeffrey-brown,5
20454,Raoul Barbet,raoul-barbet,3
327,Jan Bartkowicz,jan-bartkowicz,2
22,Grzegorz Mocarski,grzegorz-mocarski,4
4508,Ryan Feltrin,ryan-feltrin,10
266,Patrik Méthé,patrik-methe,3
2935,Kazunori Kadoi,kazunori-kadoi,12
318,Stephen Palmer,stephen-palmer,12
65,Anthony Burch,anthony-burch,5
1177,Colin Whitney,colin-whitney,5
2440,Mal Blackwell,mal-blackwell,17
456,Jason Garner,jason-garner,5
1583,Hitoshi Yamagami,hitoshi-yamagami,99
1665,Martin Schelling,martin-schelling,4
120,Michael Hunter,michael-hunter,2
351,Mikko Tarmia,mikko-tarmia,7
1816,Jason Anderson,jason-anderson,10
532,Dominic Cianciolo,dominic-cianciolo,8
281,Michael Vogt,michael-vogt,4
612,Olivier Deriviere,olivier-deriviere,12
2183,Ashraf Ismail,ashraf-ismail,4
11612,Rob Nelson,rob-nelson,6
540,Adam Urbano,adam-urbano,6
2325,Jeremy Luyties,jeremy-luyties,7
1447,Borislav Slavov,borislav-slavov,9
3330,Richard Baker,richard-baker,6
